article_id,article_url,published_date,year,quarter,month,month_name,iso_week,day_of_month,day_of_week_num,day_of_week,author,title,genre_tag,artist,album,record_label,is_independent,location_clean,city,state,country,spotify_match_status,spotify_id,spotify_url,spotify_artist_id,spotify_match_artist,spotify_match_album,spotify_release_date,spotify_release_date_precision,spotify_album_type,spotify_total_tracks,spotify_image_url,spotify_artist_status,spotify_artist_image_url,spotify_artist_url
f8bb3e7108af5b49,,2011-10-28,2011,4,10,October,43,28,4,Friday,Andrew Dubber,"SNOWMINE, Laminate Pet Animal",Alternative,SNOWMINE,Laminate Pet Animal,Independent Artist,True,"Brooklyn, New York",New York,New York,United States,matched,6FQd0E8BmZUktG4BA1bS39,https://open.spotify.com/album/6FQd0E8BmZUktG4BA1bS39,0UQCSEnTVyI8gtCVEeJMKN,Snowmine,Laminate Pet Animal,2011-05-03,day,album,9.0,https://i.scdn.co/image/ab67616d0000b273257def34aa6a929e506d6808,matched,https://i.scdn.co/image/8a012df7c68f41f801f1f9a9466f4445fdcd2e77,https://open.spotify.com/artist/0UQCSEnTVyI8gtCVEeJMKN
6994f0121e72977f,,2011-11-06,2011,4,11,November,44,6,6,Sunday,Andrew Dubber,"Bryan John Appleby, Fire on the Vine",Pop,Bryan John Appleby,Fire on the Vine,Independent Artist,True,"Seattle, Washington",Seattle,Washington,United States,matched,6j965fYYfHI9nBaFqt9sNh,https://open.spotify.com/album/6j965fYYfHI9nBaFqt9sNh,3qPpwz6S0CbgMz9cGtn02l,Bryan John Appleby,Fire on the Vine,2011-07-30,day,album,11.0,https://i.scdn.co/image/ab67616d0000b273106f3f0e39e97790b756c1c9,matched,https://i.scdn.co/image/b21c26b4f4c381b762492acdd2d96ab0883c9ade,https://open.spotify.com/artist/3qPpwz6S0CbgMz9cGtn02l
01bfd63e9dbec0f0,,2011-11-14,2011,4,11,November,46,14,0,Monday,Andrew Dubber,"Ott, Mir",World,Ott,Mir,Independent Artist,True,,,,,matched,5PPNTqusBEXmpa7Pl60k7n,https://open.spotify.com/album/5PPNTqusBEXmpa7Pl60k7n,77FIfTpCa6CKR5Rp3M0dnA,"Ottum, REVO DJ",Miracles (Radio Edit),2026-08-06,day,single,1.0,https://i.scdn.co/image/ab67616d0000b27371a985be61086faccb4fb549,matched,https://i.scdn.co/image/ab6761610000e5eb2badbd187be02d03d16307bb,https://open.spotify.com/artist/77FIfTpCa6CKR5Rp3M0dnA
e3ce18fb8c3e4d1c,,2011-11-21,2011,4,11,November,47,21,0,Monday,Andrew Dubber,"Gargleblast Records Bandcamp, The Other Half of Everything",Folk,Gargleblast Records Bandcamp,The Other Half of Everything,Independent Artist,True,"Hamilton, United Kingdom",Hamilton,,United Kingdom,no_match,,,,,,,,,,,,,
f1ffe18cc3578f3f,,2011-11-27,2011,4,11,November,47,27,6,Sunday,Andrew Dubber,"Philémon Cimon, Les Sessions Cubaines",World,Philémon Cimon,Les Sessions Cubaines,Independent Artist,True,"Montréal, Québec",Montréal,Québec,Canada,matched,0Wa9DfVK1RKIjD13G6cUyC,https://open.spotify.com/album/0Wa9DfVK1RKIjD13G6cUyC,7g1WpSVdiG70dbp3nuGU4h,Philémon Cimon,Les Sessions Cubaines,2010-05-24,day,album,11.0,https://i.scdn.co/image/ab67616d0000b2739be5a9fe3ba6608f63153785,matched,https://i.scdn.co/image/ab6761610000e5ebd59657cca5b9a2b1f853d116,https://open.spotify.com/artist/7g1WpSVdiG70dbp3nuGU4h
78d06e2791fac828,,2011-12-05,2011,4,12,December,49,5,0,Monday,Andrew Dubber,"Kwam MC, The Surgery EP",Hip-Hop/Rap,Kwam MC,The Surgery EP,Independent Artist,True,"London, United Kingdom",London,,United Kingdom,no_match,,,,,,,,,,,,,
f28865e6b3cd6136,,2011-12-12,2011,4,12,December,50,12,0,Monday,Andrew Dubber,"Zubatto Syndicate, Zubatto Syndicate",World,Zubatto Syndicate,Zubatto Syndicate,Independent Artist,True,"Seattle, Washington",Seattle,Washington,United States,matched,799CgLD7a804p8NlN99tVT,https://open.spotify.com/album/799CgLD7a804p8NlN99tVT,6QUtNe1Mpg67PHi7h3KiO1,Zubatto Syndicate,Zubatto Syndicate,2011-01-25,day,album,11.0,https://i.scdn.co/image/ab67616d0000b2733229839de28c262cb2394311,matched,https://i.scdn.co/image/ab67616d0000b2733229839de28c262cb2394311,https://open.spotify.com/artist/6QUtNe1Mpg67PHi7h3KiO1
3f61f238c0e6428e,,2011-12-19,2011,4,12,December,51,19,0,Monday,Andrew Dubber,"Gabriel Kahane, Where are the Arms",Classical,Gabriel Kahane,Where are the Arms,Independent Artist,True,"Portland, Oregon",Portland,Oregon,United States,matched,5l1CB0zV0hfly0cyNT9MOQ,https://open.spotify.com/album/5l1CB0zV0hfly0cyNT9MOQ,1ph6inW1HWQbwPSzoD1y0e,Gabriel Kahane,Where Are the Arms,2011-09-13,day,album,11.0,https://i.scdn.co/image/ab67616d0000b2737395efcd1b47bad436f51f97,matched,https://i.scdn.co/image/ab6761610000e5eb7606c00160fa8af91d48d81b,https://open.spotify.com/artist/1ph6inW1HWQbwPSzoD1y0e
0d9b3403ba071fb5,,2011-12-26,2011,4,12,December,52,26,0,Monday,Andrew Dubber,"J-LIVE, S.P.T.A. Said Person of That Ability",Hip-Hop/Rap,J-LIVE,S.P.T.A. Said Person of That Ability,Independent Artist,True,"New York, New York",New York,New York,United States,matched,4LM2iIdZGJyIaSYtBVs3j6,https://open.spotify.com/album/4LM2iIdZGJyIaSYtBVs3j6,5bb5uytW59wDF0gpv8iQbE,J-Live,S.P.T.A. Said Person of That Ability,2011-09-27,day,album,13.0,https://i.scdn.co/image/ab67616d0000b273eb1d066538ae5c45d25227c6,matched,https://i.scdn.co/image/ab6761610000e5eb120d8ffb5dfcd3f8c73fc125,https://open.spotify.com/artist/5bb5uytW59wDF0gpv8iQbE
4d6d50f0790509a1,,2016-06-13,2016,2,6,June,24,13,0,Monday,Summer Kim Lee,"Mitski, Puberty 2",Alternative,Mitski,Puberty 2,Independent Artist,True,"New York, New York",New York,New York,United States,matched,4Coa8Eb9SzjrkwWEom963Q,https://open.spotify.com/album/4Coa8Eb9SzjrkwWEom963Q,2uYWxilOVlUdk4oV9DvwqK,Mitski,Puberty 2,2016-06-17,day,album,11.0,https://i.scdn.co/image/ab67616d0000b27342cb382726e956058bf73ed3,matched,https://i.scdn.co/image/ab6761610000e5ebaf731fe1a006c29152075c89,https://open.spotify.com/artist/2uYWxilOVlUdk4oV9DvwqK
